"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"78,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"79,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"80,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"81,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"82,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"83,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"84,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"85,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"86,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"87,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"88,""7.741157"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"89,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"90,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"91,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"92,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"93,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"94,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"95,""7.741879"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"96,""7.742239"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"97,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"98,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"99,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"100,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"101,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"102,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"103,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"104,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"105,""7.743582"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"106,""7.744000"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"107,""7.750528"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"108,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"109,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"110,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"111,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"112,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"113,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"114,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"115,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"116,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"117,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"118,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"119,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"120,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"121,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"122,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"123,""7.753577"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"124,""7.754054"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"125,""7.757590"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"126,""7.757939"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"127,""7.757939"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"128,""7.758056"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"129,""7.758416"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"130,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"131,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
